import time: self [us] | cumulative | imported package
import time:     19208 |      20492 |                     typing
import time:    569058 |     569058 |                       numpy.lib.stride_tricks
import time:    551617 |    1120675 |                     numpy.lib.twodim_base
import time:    699317 |     699317 |                     numpy.linalg._umath_linalg
import time:      1813 |       1813 |                       __future__
import time:    539989 |     539989 |                       numpy._typing._nested_sequence
import time:    748393 |     748393 |                       numpy._typing._nbit
import time:    767607 |     767607 |                       numpy._typing._char_codes
import time:    619462 |     619462 |                       numpy._typing._scalars
import time:    581531 |     581531 |                       numpy._typing._shape
import time:    727194 |     727194 |                       numpy._typing._dtype_like
import time:    588793 |     588793 |                       numpy._typing._array_like
import time:    516032 |    5090810 |                     numpy._typing
import time:    833887 |    7765179 |                   numpy.linalg.linalg
import time:    569613 |    8334791 |                 numpy.linalg
import time:    758427 |    9093218 |               numpy.matrixlib.defmatrix
import time:    772184 |    9865401 |             numpy.matrixlib
import time:    563003 |     563003 |               numpy.lib.histograms
import time:    869669 |    1432672 |             numpy.lib.function_base
import time:    582546 |   11880618 |           numpy.lib.index_tricks
import time:    596776 |     596776 |           numpy.lib.nanfunctions
import time:    607766 |     607766 |           numpy.lib.shape_base
import time:   1217698 |    1217698 |           numpy.lib.polynomial
import time:    747799 |     747799 |           numpy.lib.utils
import time:    612957 |     612957 |           numpy.lib.arraysetops
import time:    652836 |     652836 |             numpy.lib.format
import time:    549896 |     549896 |             numpy.lib._datasource
import time:    534903 |     534903 |             numpy.lib._iotools
import time:    689949 |    2427583 |           numpy.lib.npyio
import time:    422208 |     422208 |           numpy.lib.arrayterator
import time:    507485 |     507485 |           numpy.lib.arraypad
import time:    486865 |     486865 |           numpy.lib._version
import time:    680578 |   22605524 |         numpy.lib
import time:    560016 |     560016 |             numpy.fft._pocketfft_internal
import time:    865721 |    1425736 |           numpy.fft._pocketfft
import time:    395096 |     395096 |           numpy.fft.helper
import time:    467819 |    2288650 |         numpy.fft
import time:    620473 |     620473 |             numpy.polynomial.polyutils
import time:    578998 |     578998 |             numpy.polynomial._polybase
import time:    612082 |    1811551 |           numpy.polynomial.polynomial
import time:    636721 |     636721 |           numpy.polynomial.chebyshev
import time:    605512 |     605512 |           numpy.polynomial.legendre
import time:    550069 |     550069 |           numpy.polynomial.hermite
import time:    498212 |     498212 |           numpy.polynomial.hermite_e
import time:    561314 |     561314 |           numpy.polynomial.laguerre
import time:    433706 |    5097082 |         numpy.polynomial
import time:       341 |        341 |                   backports_abc
import time:    572417 |     572757 |                 numpy.random._common
import time:      4778 |       4778 |                     binascii
import time:      1540 |       6317 |                   base64
import time:     37127 |      37127 |                     _hashlib
import time:      2466 |       2466 |                       _blake2
import time:      2841 |       5307 |                     hashlib
import time:      1866 |      44299 |                   hmac
import time:      1880 |      52495 |                 secrets
import time:    592590 |    1217841 |               numpy.random.bit_generator
import time:    613570 |     613570 |               numpy.random._bounded_integers
import time:    678673 |     678673 |               numpy.random._mt19937
import time:    875176 |    3385259 |             numpy.random.mtrand
import time:    561214 |     561214 |             numpy.random._philox
import time:    636759 |     636759 |             numpy.random._pcg64
import time:    496165 |     496165 |             numpy.random._sfc64
import time:    860097 |     860097 |             numpy.random._generator
import time:    450130 |    6389622 |           numpy.random._pickle
import time:    447302 |    6836923 |         numpy.random
import time:    494543 |     494543 |         numpy.ctypeslib
import time:    610491 |     610491 |           numpy.ma.core
import time:    586892 |     586892 |           numpy.ma.extras
import time:    430656 |    1628037 |         numpy.ma
import time:    621812 |  113040399 |       numpy
import time:    608795 |     608795 |       sklearn.exceptions
import time:      1096 |       1096 |                       concurrent
import time:      1705 |       1705 |                       concurrent.futures._base
import time:      1796 |       4596 |                     concurrent.futures
import time:      2068 |       2068 |                       _heapq
import time:       840 |       2907 |                     heapq
import time:      2811 |       2811 |                       _socket
import time:      2577 |       2577 |                         select
import time:      3363 |       5940 |                       selectors
import time:      3331 |       3331 |                       array
import time:      4101 |      16181 |                     socket
import time:       195 |        195 |                         _locale
import time:      4594 |       4788 |                       locale
import time:      2265 |       2265 |                       signal
import time:      2286 |       2286 |                       fcntl
import time:       200 |        200 |                       msvcrt
import time:      2835 |       2835 |                       _posixsubprocess
import time:      2191 |      14561 |                     subprocess
import time:     10426 |      10426 |                       _ssl
import time:      4496 |      14922 |                     ssl
import time:       925 |        925 |                     asyncio.constants
import time:       917 |        917 |                     asyncio.coroutines
import time:      1457 |       1457 |                       asyncio.format_helpers
import time:       909 |        909 |                         asyncio.base_futures
import time:      1026 |       1026 |                         asyncio.exceptions
import time:      1001 |       1001 |                         asyncio.base_tasks
import time:      3451 |       6386 |                       _asyncio
import time:      1425 |       9267 |                     asyncio.events
import time:      1142 |       1142 |                     asyncio.futures
import time:       867 |        867 |                     asyncio.protocols
import time:       814 |        814 |                       asyncio.transports
import time:       630 |        630 |                       asyncio.log
import time:      1723 |       3166 |                     asyncio.sslproto
import time:       615 |        615 |                         asyncio.mixins
import time:      1304 |       1918 |                       asyncio.locks
import time:      1203 |       1203 |                         asyncio.timeouts
import time:      1674 |       2877 |                       asyncio.tasks
import time:      1035 |       5829 |                     asyncio.staggered
import time:       674 |        674 |                     asyncio.trsock
import time:      5869 |      81818 |                   asyncio.base_events
import time:       945 |        945 |                   asyncio.runners
import time:       939 |        939 |                   asyncio.queues
import time:      1124 |       1124 |                   asyncio.streams
import time:       866 |        866 |                   asyncio.subprocess
import time:       761 |        761 |                   asyncio.taskgroups
import time:       592 |        592 |                   asyncio.threads
