import time: self [us] | cumulative | imported package
import time:   1026273 |    1464060 |                           scipy.spatial._qhull
import time:    702522 |     702522 |                             scipy.spatial._voronoi
import time:    868217 |    1570739 |                           scipy.spatial._spherical_voronoi
import time:    408063 |     408063 |                           scipy.spatial._plotutils
import time:    409431 |     409431 |                           scipy.spatial._procrustes
import time:    510063 |     510063 |                               scipy.spatial._distance_wrap
import time:    533113 |     533113 |                               scipy.spatial._hausdorff
import time:    747282 |     747282 |                               scipy.spatial._distance_pybind
import time:    495502 |    2285958 |                             scipy.spatial.distance
import time:    455138 |    2741096 |                           scipy.spatial._geometric_slerp
import time:    394990 |     394990 |                           scipy.spatial.ckdtree
import time:    391471 |     391471 |                           scipy.spatial.kdtree
import time:    467020 |     467020 |                           scipy.spatial.qhull
import time:       197 |        197 |                               backports_abc
import time:    584895 |     584895 |                                   scipy.constants._codata
import time:    484442 |     484442 |                                   scipy.constants._constants
import time:    525873 |     525873 |                                   scipy.constants.codata
import time:    514587 |     514587 |                                   scipy.constants.constants
import time:    607405 |    2717200 |                                 scipy.constants
import time:    547631 |    3264831 |                               scipy.spatial.transform._rotation_groups
import time:    892218 |    4157244 |                             scipy.spatial.transform._rotation
import time:    416520 |     416520 |                             scipy.spatial.transform._rotation_spline
import time:    464207 |     464207 |                             scipy.spatial.transform.rotation
import time:    489570 |    5527540 |                           scipy.spatial.transform
import time:    420668 |   15335584 |                         scipy.spatial
import time:    467550 |     467550 |                               scipy.optimize._dcsrch
import time:    456700 |     924250 |                             scipy.optimize._linesearch
import time:    531517 |     531517 |                               scipy.optimize._group_columns
import time:    482610 |    1014126 |                             scipy.optimize._numdiff
import time:    391856 |     391856 |                               scipy.optimize._hessian_update_strategy
import time:    527145 |     919000 |                             scipy.optimize._differentiable_functions
import time:    435273 |    3292647 |                           scipy.optimize._optimize
import time:    385989 |     385989 |                               scipy.optimize._trustregion
import time:    396573 |     782561 |                             scipy.optimize._trustregion_dogleg
import time:    609387 |     609387 |                             scipy.optimize._trustregion_ncg
import time:    631240 |     631240 |                                 scipy.optimize._trlib._trlib
import time:    430191 |    1061431 |                               scipy.optimize._trlib
import time:    440390 |    1501821 |                             scipy.optimize._trustregion_krylov
import time:    414963 |     414963 |                             scipy.optimize._trustregion_exact
import time:    411951 |     411951 |                                 scipy.optimize._constraints
import time:       238 |        238 |                                       sksparse
import time:       129 |        367 |                                     sksparse.cholmod
import time:    455770 |     456136 |                                   scipy.optimize._trustregion_constr.projections
import time:    449578 |     449578 |                                   scipy.optimize._trustregion_constr.qp_subproblem
import time:    447219 |    1352933 |                                 scipy.optimize._trustregion_constr.equality_constrained_sqp
import time:    593846 |     593846 |                                 scipy.optimize._trustregion_constr.canonical_constraint
import time:    411652 |     411652 |                                 scipy.optimize._trustregion_constr.tr_interior_point
import time:    458408 |     458408 |                                 scipy.optimize._trustregion_constr.report
import time:    649197 |    3877985 |                               scipy.optimize._trustregion_constr.minimize_trustregion_constr
import time:    427528 |    4305512 |                             scipy.optimize._trustregion_constr
import time:    475757 |     475757 |                               scipy.optimize._lbfgsb
import time:    447141 |     922897 |                             scipy.optimize._lbfgsb_py
import time:    514126 |     514126 |                               scipy.optimize._moduleTNC
import time:    454794 |     968920 |                             scipy.optimize._tnc
import time:    520572 |     520572 |                               scipy.optimize._cobyla
import time:    392775 |     913347 |                             scipy.optimize._cobyla_py
import time:    382355 |     382355 |                             scipy.optimize._cobyqa_py
import time:    741336 |     741336 |                               scipy.optimize._slsqp
import time:    449579 |    1190914 |                             scipy.optimize._slsqp_py
import time:    443368 |   12436042 |                           scipy.optimize._minimize
import time:    668797 |     668797 |                               scipy.optimize._minpack
import time:    521319 |     521319 |                                     scipy.optimize._lsq.common
import time:    376360 |     897679 |                                   scipy.optimize._lsq.trf
import time:    394527 |     394527 |                                   scipy.optimize._lsq.dogbox
import time:    436220 |    1728424 |                                 scipy.optimize._lsq.least_squares
import time:    601531 |     601531 |                                     scipy.optimize._lsq.givens_elimination
import time:    401080 |    1002610 |                                   scipy.optimize._lsq.trf_linear
import time:    518715 |     518715 |                                   scipy.optimize._lsq.bvls
import time:    399877 |    1921202 |                                 scipy.optimize._lsq.lsq_linear
import time:    409437 |    4059062 |                               scipy.optimize._lsq
import time:    461465 |    5189323 |                             scipy.optimize._minpack_py
import time:    402340 |     402340 |                             scipy.optimize._spectral
import time:    445279 |     445279 |                             scipy.optimize._nonlin
import time:    404522 |    6441463 |                           scipy.optimize._root
import time:    539729 |     539729 |                               scipy.optimize._zeros
import time:    433431 |     973160 |                             scipy.optimize._zeros_py
import time:    413009 |    1386169 |                           scipy.optimize._root_scalar
import time:    595788 |     595788 |                             scipy.optimize._cython_nnls
import time:    391412 |     987200 |                           scipy.optimize._nnls
import time:    501478 |     501478 |                           scipy.optimize._basinhopping
import time:    403181 |     403181 |                                 scipy.optimize._highspy
import time:   1550297 |    1550297 |                                 scipy.optimize._highspy._core
import time:    766366 |     766366 |                                 scipy.optimize._highspy._highs_options
import time:    540450 |    3260292 |                               scipy.optimize._highspy._highs_wrapper
import time:    415238 |    3675529 |                             scipy.optimize._linprog_highs
import time:       211 |        211 |                                             uarray
import time:    452893 |     452893 |                                                 scipy._lib._uarray._uarray
import time:    520684 |     973577 |                                               scipy._lib._uarray._backend
import time:    475012 |    1448588 |                                             scipy._lib._uarray
import time:    480229 |    1929027 |                                           scipy._lib.uarray
import time:    453123 |    2382149 |                                         scipy.fft._basic
import time:    655133 |     655133 |                                         scipy.fft._realtransforms
import time:    473361 |     473361 |                                           scipy.fft._fftlog_backend
import time:    470544 |     943905 |                                         scipy.fft._fftlog
import time:    691144 |     691144 |                                               scipy.fft._pocketfft.pypocketfft
import time:    490532 |     490532 |                                               scipy.fft._pocketfft.helper
import time:    420474 |    1602149 |                                             scipy.fft._pocketfft.basic
import time:    467456 |     467456 |                                             scipy.fft._pocketfft.realtransforms
import time:    540886 |    2610491 |                                           scipy.fft._pocketfft
import time:    441387 |    3051877 |                                         scipy.fft._helper
import time:    445219 |     445219 |                                           scipy.fft._basic_backend
import time:    440265 |     440265 |                                           scipy.fft._realtransforms_backend
import time:    445694 |    1331177 |                                         scipy.fft._backend
import time:    580007 |    8944246 |                                       scipy.fft
import time:    890224 |    9834469 |                                     scipy.linalg._decomp_interpolative
import time:    469804 |   10304273 |                                   scipy.linalg.interpolative
import time:    402676 |   10706948 |                                 scipy.optimize._remove_redundancy
import time:    451655 |   11158603 |                               scipy.optimize._linprog_util
import time:       176 |        176 |                               sksparse
import time:       102 |        102 |                                 scikits
import time:        57 |        158 |                               scikits.umfpack
import time:    468218 |   11627154 |                             scipy.optimize._linprog_ip
import time:    487315 |     487315 |                             scipy.optimize._linprog_simplex
import time:    537073 |     537073 |                               scipy.optimize._bglu_dense
import time:    438850 |     975922 |                             scipy.optimize._linprog_rs
import time:    744235 |     744235 |                             scipy.optimize._linprog_doc
import time:    454354 |   17964506 |                           scipy.optimize._linprog
import time:    572178 |     572178 |                           scipy.optimize._lsap
import time:    487357 |     487357 |                           scipy.optimize._differentialevolution
import time:    541755 |     541755 |                             scipy.optimize._pava_pybind
import time:    523694 |    1065449 |                           scipy.optimize._isotonic
import time:    466590 |     466590 |                               scipy.optimize._shgo_lib
import time:    450525 |     450525 |                               scipy.optimize._shgo_lib._vertex
import time:    582869 |    1499983 |                             scipy.optimize._shgo_lib._complex
import time:    519210 |    2019192 |                           scipy.optimize._shgo
import time:    556302 |     556302 |                           scipy.optimize._dual_annealing
import time:    449905 |     449905 |                           scipy.optimize._qap
import time:    739785 |     739785 |                             scipy.optimize._direct
import time:    402683 |    1142467 |                           scipy.optimize._direct_py
import time:    433274 |     433274 |                           scipy.optimize._milp
import time:    409087 |     409087 |                           scipy.optimize.cobyla
import time:    372724 |     372724 |                           scipy.optimize.lbfgsb
import time:    369606 |     369606 |                           scipy.optimize.linesearch
import time:    413175 |     413175 |                           scipy.optimize.minpack
import time:    355124 |     355124 |                           scipy.optimize.minpack2
import time:    387273 |     387273 |                           scipy.optimize.moduleTNC
import time:    368063 |     368063 |                           scipy.optimize.nonlin
import time:    362211 |     362211 |                           scipy.optimize.optimize
import time:    392871 |     392871 |                           scipy.optimize.slsqp
import time:    371065 |     371065 |                           scipy.optimize.tnc
import time:    405311 |     405311 |                           scipy.optimize.zeros
import time:    402892 |   54345018 |                         scipy.optimize
import time:    521248 |     521248 |                             scipy._lib.doccer
import time:    424960 |     424960 |                             scipy.stats._distr_params
import time:    442990 |     442990 |                             scipy.integrate._quadrature
import time:    456981 |     456981 |                               scipy.integrate._odepack
import time:    374195 |     831176 |                             scipy.integrate._odepack_py
import time:    440645 |     440645 |                               scipy.integrate._quadpack
import time:    416877 |     857521 |                             scipy.integrate._quadpack_py
import time:    504303 |     504303 |                               scipy.integrate._vode
import time:    409282 |     409282 |                               scipy.integrate._dop
import time:    426265 |     426265 |                               scipy.integrate._lsoda
import time:    547752 |    1887600 |                             scipy.integrate._ode
import time:    559727 |     559727 |                             scipy.integrate._bvp
import time:    448415 |     448415 |                                   scipy.integrate._ivp.common
import time:    383838 |     383838 |                                   scipy.integrate._ivp.base
import time:    448907 |    1281159 |                                 scipy.integrate._ivp.bdf
import time:    368125 |     368125 |                                 scipy.integrate._ivp.radau
import time:    370202 |     370202 |                                   scipy.integrate._ivp.dop853_coefficients
import time:    384101 |     754303 |                                 scipy.integrate._ivp.rk
import time:    354400 |     354400 |                                 scipy.integrate._ivp.lsoda
import time:    396581 |    3154566 |                               scipy.integrate._ivp.ivp
import time:    444271 |    3598837 |                             scipy.integrate._ivp
import time:    350716 |     350716 |                             scipy.integrate._quad_vec
import time:    391444 |     391444 |                               scipy._lib._elementwise_iterative_method
import time:    345344 |     736787 |                             scipy.integrate._tanhsinh
import time:    360631 |     360631 |                                 scipy.integrate._rules._base
import time:    414991 |     414991 |                                 scipy.integrate._rules._genz_malik
import time:    352585 |     352585 |                                   scipy.integrate._rules._gauss_legendre
import time:    373923 |     726507 |                                 scipy.integrate._rules._gauss_kronrod
import time:    436035 |    1938162 |                               scipy.integrate._rules
import time:    364190 |    2302352 |                             scipy.integrate._cubature
import time:    447388 |     447388 |                             scipy.integrate._lebedev
import time:    363591 |     363591 |                             scipy.integrate.dop
import time:    375205 |     375205 |                             scipy.integrate.lsoda
import time:    347441 |     347441 |                             scipy.integrate.vode
import time:    400319 |     400319 |                             scipy.integrate.odepack
import time:    338882 |     338882 |                             scipy.integrate.quadpack
import time:    371069 |     371069 |                             scipy._lib._finite_differences
import time:    402169 |     402169 |                             scipy.stats._constants
import time:    382746 |     382746 |                             scipy.stats._censored_data
import time:   1174284 |   17116998 |                           scipy.stats._distn_infrastructure
import time:    516935 |     516935 |                                     scipy.interpolate._fitpack
import time:    539860 |     539860 |                                     scipy.interpolate._dfitpack
import time:    355000 |    1411794 |                                   scipy.interpolate._fitpack_impl
import time:    370997 |     370997 |                                     scipy.interpolate._dierckx
import time:    395110 |     766107 |                                   scipy.interpolate._bsplines
import time:    359169 |    2537068 |                                 scipy.interpolate._fitpack_py
import time:    343749 |     343749 |                                 scipy.interpolate._polyint
import time:    538526 |     538526 |                                 scipy.interpolate._ppoly
import time:    664213 |     664213 |                                 scipy.interpolate._interpnd
import time:    411113 |    4494668 |                               scipy.interpolate._interpolate
import time:    383041 |     383041 |                               scipy.interpolate._fitpack2
import time:    351416 |     351416 |                               scipy.interpolate._rbf
import time:    513364 |     513364 |                                 scipy.interpolate._rbfinterp_pythran
import time:    354522 |     867886 |                               scipy.interpolate._rbfinterp
import time:    358828 |     358828 |                               scipy.interpolate._cubic
import time:    358826 |     358826 |                               scipy.interpolate._ndgriddata
import time:    369727 |     369727 |                               scipy.interpolate._fitpack_repro
import time:    354423 |     354423 |                               scipy.interpolate._pade
import time:    560078 |     560078 |                                 scipy.interpolate._rgi_cython
import time:    464462 |     464462 |                                   scipy.interpolate._bspl
import time:    386800 |     851262 |                                 scipy.interpolate._ndbspline
import time:    364253 |    1775591 |                               scipy.interpolate._rgi
import time:    344771 |     344771 |                               scipy.interpolate._bary_rational
import time:    332011 |     332011 |                               scipy.interpolate.fitpack
import time:    457071 |     457071 |                               scipy.interpolate.fitpack2
import time:    360138 |     360138 |                               scipy.interpolate.interpolate
import time:    415051 |     415051 |                               scipy.interpolate.ndgriddata
import time:    364105 |     364105 |                               scipy.interpolate.polyint
import time:    333808 |     333808 |                               scipy.interpolate.rbf
import time:    427511 |     427511 |                               scipy.interpolate.interpnd
import time:    531760 |   12880622 |                             scipy.interpolate
import time:    907819 |     907819 |                               scipy.special.cython_special
import time:    566706 |    1474524 |                             scipy.stats._stats
import time:    388503 |     388503 |                             scipy.stats._tukeylambda_stats
import time:    434916 |     434916 |                               scipy.optimize._bracket
import time:    403728 |     403728 |                               scipy.optimize._chandrupatla
import time:    464345 |     464345 |                               scipy.stats._probability_distribution
import time:      1535 |       1535 |                                         importlib.resources.abc
import time:       950 |        950 |                                         importlib.resources._adapters
import time:      4219 |       6702 |                                       importlib.resources._common
import time:       773 |        773 |                                       importlib.resources._legacy
import time:      1801 |       9276 |                                     importlib.resources
import time:    492713 |     501989 |                                   scipy.stats._sobol
import time:    548567 |     548567 |                                   scipy.stats._qmc_cy
import time:    377579 |    1428134 |                                 scipy.stats._qmc
import time:    402927 |    1831060 |                               scipy.stats.qmc
import time:    425928 |    3559974 |                             scipy.stats._distribution_infrastructure
import time:    344254 |     344254 |                             scipy.stats._ksstats
import time:    686352 |   19334228 |                           scipy.stats._continuous_distns
import time:    432981 |     432981 |                             scipy.stats._biasedurn
import time:    384934 |     384934 |                             scipy.stats._stats_pythran
import time:    381551 |    1199466 |                           scipy.stats._discrete_distns
import time:    471758 |     471758 |                             scipy.stats._levy_stable.levyst
import time:    476138 |     947895 |                           scipy.stats._levy_stable
import time:    373738 |     373738 |                             scipy.stats._axis_nan_policy
import time:    392686 |     766424 |                           scipy.stats._entropy
import time:    429437 |   39794446 |                         scipy.stats.distributions
import time:    425747 |     425747 |                           scipy._lib._bunch
import time:    370416 |     370416 |                           scipy.stats._stats_mstats_common
import time:    367443 |    1163604 |                         scipy.stats._mstats_basic
import time:    365559 |     365559 |                           scipy.stats._common
import time:    355979 |     721538 |                         scipy.stats._hypotests
import time:    465786 |     465786 |                         scipy.stats._resampling
import time:    343530 |     343530 |                         scipy.stats._binomtest
import time:   1357603 |  113527105 |                       scipy.stats._stats_py
import time:    353030 |     353030 |                       scipy.stats._variation
import time:    478037 |     478037 |                         scipy.stats._ansari_swilk_statistics
import time:    348281 |     348281 |                         scipy.stats._wilcoxon
import time:    364324 |     364324 |                         scipy.stats._fit
import time:    349517 |     349517 |                           scipy.stats._relative_risk
import time:    458429 |     458429 |                           scipy.stats._crosstab
import time:    380688 |     380688 |                           scipy.stats._odds_ratio
import time:    389675 |    1578309 |                         scipy.stats.contingency
import time:    402044 |    3170993 |                       scipy.stats._morestats
import time:    386371 |     386371 |                       scipy.stats._multicomp
import time:    458489 |     458489 |                       scipy.stats._binned_statistic
import time:    473946 |     473946 |                         scipy.stats._mvn
import time:    536959 |    1010905 |                       scipy.stats._kde
import time:    356323 |     356323 |                         scipy.stats._mstats_extras
import time:    413698 |     770021 |                       scipy.stats.mstats
import time:    366122 |     366122 |                         scipy.stats._covariance
import time:    596854 |     596854 |                           scipy.stats._rcont.rcont
import time:    733250 |    1330104 |                         scipy.stats._rcont
import time:    433465 |     433465 |                         scipy.stats._qmvnt
import time:    382180 |    2511869 |                       scipy.stats._multivariate
import time:    377216 |     377216 |                       scipy.stats._page_trend_test
import time:    361945 |     361945 |                       scipy.stats._mannwhitneyu
import time:    385089 |     385089 |                       scipy.stats._bws_test
import time:    388895 |     388895 |                       scipy.stats._sensitivity_analysis
import time:    355832 |     355832 |                       scipy.stats._survival
import time:    357756 |     357756 |                       scipy.stats._new_distributions
import time:    339996 |     339996 |                                 scipy.ndimage._ni_support
import time:    525414 |     525414 |                                 scipy.ndimage._nd_image
import time:    347303 |     347303 |                                 scipy.ndimage._ni_docstrings
import time:    469058 |     469058 |                                 scipy.ndimage._rank_filter_1d
import time:    437280 |    2119049 |                               scipy.ndimage._filters
import time:    430322 |     430322 |                               scipy.ndimage._fourier
import time:    408748 |     408748 |                               scipy.ndimage._interpolation
import time:    507242 |     507242 |                                 scipy.ndimage._ni_label
import time:    379947 |     379947 |                                 scipy.ndimage._morphology
import time:    352632 |    1239820 |                               scipy.ndimage._measurements
import time:    388459 |    4586396 |                             scipy.ndimage._ndimage_api
import time:    350671 |     350671 |                             scipy.ndimage._delegators
import time:    419551 |    5356617 |                           scipy.ndimage._support_alternative_backends
import time:    349486 |     349486 |                           scipy.ndimage.filters
import time:    333338 |     333338 |                           scipy.ndimage.fourier
import time:    369758 |     369758 |                           scipy.ndimage.interpolation
import time:    340771 |     340771 |                           scipy.ndimage.measurements
import time:    364908 |     364908 |                           scipy.ndimage.morphology
import time:    489233 |    7604107 |                         scipy.ndimage
import time:    360159 |    7964266 |                       scipy.stats._mgc
import time:    347008 |     347008 |                       scipy.stats._correlation
import time:    369719 |     369719 |                       scipy.stats.biasedurn
import time:    367176 |     367176 |                       scipy.stats.kde
import time:    346071 |     346071 |                       scipy.stats.morestats
import time:    324093 |     324093 |                       scipy.stats.mstats_basic
import time:    353751 |     353751 |                       scipy.stats.mstats_extras
import time:    352320 |     352320 |                       scipy.stats.mvn
import time:    361266 |     361266 |                       scipy.stats.stats
import time:    608801 |  136251617 |                     scipy.stats
import time:    390684 |     390684 |                         pytz.exceptions
import time:    349910 |     349910 |                         pytz.lazy
import time:    341817 |     341817 |                         pytz.tzinfo
import time:    385353 |     385353 |                         pytz.tzfile
import time:    452768 |    1920530 |                       pytz
import time:    456630 |     456630 |                         dateutil._version
import time:    407410 |     864040 |                       dateutil
import time:    391586 |     391586 |                         pandas.compat._constants
import time:    406653 |     406653 |                         pandas.compat.compressors
import time:    417664 |     417664 |                             pandas.util
import time:    602731 |    1020394 |                           pandas.util.version
import time:    314291 |    1334685 |                         pandas.compat.numpy
import time:       190 |        190 |                           pyarrow
import time:    509654 |     509844 |                         pandas.compat.pyarrow
import time:    425265 |    3068030 |                       pandas.compat
import time:    438748 |     438748 |                           pandas._typing
import time:    395325 |     395325 |                           pandas.util._exceptions
import time:    461345 |    1295418 |                         pandas._config.config
import time:    362305 |     362305 |                         pandas._config.dates
import time:    389094 |     389094 |                         pandas._config.display
import time:    352253 |    2399068 |                       pandas._config
import time:    428224 |     428224 |                         pandas.core
import time:    468236 |     896459 |                       pandas.core.config_init
import time:    457665 |     457665 |                           pandas._libs.pandas_parser
import time:    396528 |     396528 |                           pandas._libs.pandas_datetime
import time:    511766 |     511766 |                                       pandas._libs.tslibs.ccalendar
import time:    450625 |     450625 |                                       pandas._libs.tslibs.np_datetime
import time:    563530 |    1525921 |                                     pandas._libs.tslibs.dtypes
import time:    405803 |     405803 |                                       pandas._libs.tslibs.base
import time:    506671 |     506671 |                                           pandas._libs.tslibs.nattype
import time:    429477 |     429477 |                                               pandas.compat._optional
import time:      2884 |       2884 |                                                 zoneinfo._tzpath
import time:       694 |        694 |                                                 zoneinfo._common
import time:      4264 |       4264 |                                                 _zoneinfo
import time:      1518 |       9359 |                                               zoneinfo
import time:    677316 |     677316 |                                                   six
import time:        88 |         88 |                                                   six.moves
import time:    352559 |     352559 |                                                   dateutil.tz._common
import time:    355295 |     355295 |                                                   dateutil.tz._factories
import time:        90 |         90 |                                                     six.moves.winreg
import time:    347006 |     347095 |                                                   dateutil.tz.win
import time:    540546 |    2272896 |                                                 dateutil.tz.tz
import time:    392127 |    2665022 |                                               dateutil.tz
import time:    576838 |    3680695 |                                             pandas._libs.tslibs.timezones
import time:      2264 |       2264 |                                                 calendar
import time:      3351 |       5614 |                                               _strptime
import time:    351256 |     351256 |                                               pandas._config.localization
import time:    589132 |     946001 |                                             pandas._libs.tslibs.fields
import time:    704508 |    5331203 |                                           pandas._libs.tslibs.timedeltas
import time:    685766 |     685766 |                                           pandas._libs.tslibs.tzconversion
import time:       183 |        183 |                                           backports_abc
import time:    826323 |    7350145 |                                         pandas._libs.tslibs.timestamps
import time:       187 |        187 |                                         backports_abc
import time:    477128 |     477128 |                                         pandas._libs.properties
import time:    966897 |    8794355 |                                       pandas._libs.tslibs.offsets
import time:       217 |        217 |                                         backports_abc
import time:    363128 |     363128 |                                             dateutil._common
import time:    917729 |    1280856 |                                           dateutil.parser._parser
import time:    356949 |     356949 |                                           dateutil.parser.isoparser
import time:    378245 |    2016049 |                                         dateutil.parser
import time:    565259 |     565259 |                                         pandas._libs.tslibs.strptime
import time:    583991 |    3165515 |                                       pandas._libs.tslibs.parsing
import time:    546775 |   12912447 |                                     pandas._libs.tslibs.conversion
import time:    606871 |     606871 |                                     pandas._libs.tslibs.period
import time:    518290 |     518290 |                                     pandas._libs.tslibs.vectorized
import time:    441397 |   16004924 |                                   pandas._libs.tslibs
import time:       106 |   16005030 |                                 pandas._libs.tslibs.nattype
import time:    393786 |     393786 |                                 pandas._libs.ops_dispatch
import time:    522979 |   16921793 |                               pandas._libs.missing
import time:   1531773 |   18453566 |                             pandas._libs.hashtable
import time:   1114662 |    1114662 |                             pandas._libs.algos
import time:   1138224 |   20706451 |                           pandas._libs.interval
import time:    359569 |   21920212 |                         pandas._libs
import time:    397676 |     397676 |                           pandas.core.dtypes
import time:       183 |        183 |                             pyarrow
import time:    780865 |     781047 |                           pandas._libs.lib
import time:    490645 |     490645 |                           pandas.errors
import time:    398310 |     398310 |                             pandas.core.dtypes.generic
import time:    431449 |     829758 |                           pandas.core.dtypes.base
import time:    415565 |     415565 |                           pandas.core.dtypes.inference
import time:    436863 |    3351552 |                         pandas.core.dtypes.dtypes
import time:    526887 |     526887 |                           pandas.core.dtypes.common
import time:    424733 |     951619 |                         pandas.core.dtypes.missing
import time:    392312 |     392312 |                           pandas.util._decorators
import time:    440644 |     440644 |                               pandas.io
import time:    411784 |     852428 |                             pandas.io._util
import time:    423843 |    1276271 |                           pandas.core.dtypes.cast
import time:    364712 |     364712 |                             pandas.core.dtypes.astype
import time:    356810 |     721521 |                           pandas.core.dtypes.concat
import time:    480521 |     480521 |                             pandas.core.array_algos
import time:    420813 |     420813 |                               pandas.core.common
import time:    367440 |     788253 |                             pandas.core.construction
import time:    419559 |    1688332 |                           pandas.core.array_algos.take
import time:    385760 |     385760 |                             pandas.core.indexers.utils
import time:    379772 |     765532 |                           pandas.core.indexers
import time:    396459 |    5240424 |                         pandas.core.algorithms
import time:    402382 |     402382 |                             pandas.core.arrays.arrow.accessors
import time:      5137 |       5137 |                               unicodedata
import time:    380088 |     380088 |                               pandas.util._validators
import time:    413711 |     413711 |                               pandas.core.missing
import time:    497391 |     497391 |                                   pandas._libs.ops
import time:    327500 |     327500 |                                   pandas.core.roperator
import time:    474843 |     474843 |                                   pandas.core.computation
import time:    421702 |     421702 |                                     pandas.core.computation.check
import time:    340230 |     761931 |                                   pandas.core.computation.expressions
import time:    390790 |     390790 |                                   pandas.core.ops.missing
import time:    359410 |     359410 |                                   pandas.core.ops.dispatch
import time:    352621 |     352621 |                                   pandas.core.ops.invalid
import time:    396045 |    3560527 |                                 pandas.core.ops.array_ops
import time:    344167 |     344167 |                                 pandas.core.ops.common
import time:    372087 |     372087 |                                 pandas.core.ops.docstrings
import time:    358611 |     358611 |                                 pandas.core.ops.mask_ops
import time:    366068 |    5001459 |                               pandas.core.ops
import time:    384498 |     384498 |                               pandas.core.arraylike
import time:    375033 |     375033 |                               pandas.core.arrays._arrow_string_mixins
import time:    418932 |     418932 |                               pandas.core.arrays._utils
import time:    344960 |     344960 |                                 pandas.compat.numpy.function
import time:    377818 |     377818 |                                 pandas.core.array_algos.quantile
import time:    604664 |     604664 |                                 pandas.core.sorting
import time:    474673 |    1802114 |                               pandas.core.arrays.base
import time:    417688 |     417688 |                                 pandas.core.nanops
import time:    345988 |     345988 |                                 pandas.core.array_algos.masked_accumulations
import time:    348797 |     348797 |                                 pandas.core.array_algos.masked_reductions
import time:    397081 |     397081 |                                   pandas.core.util
import time:    533646 |     533646 |                                   pandas._libs.hashing
import time:    414193 |    1344920 |                                 pandas.core.util.hashing
import time:    416453 |    2873844 |                               pandas.core.arrays.masked
import time:    405670 |     405670 |                                 pandas._libs.arrays
import time:    355283 |     355283 |                                   pandas.core.arrays.numeric
import time:    341958 |     697241 |                                 pandas.core.arrays.floating
import time:    346843 |     346843 |                                 pandas.core.arrays.integer
import time:    394312 |     394312 |                                     pandas.core.array_algos.transforms
import time:    351157 |     745468 |                                   pandas.core.arrays._mixins
import time:    427013 |     427013 |                                     pandas.core.strings
import time:    345711 |     345711 |                                     pandas.core.strings.base
import time:    431712 |    1204435 |                                   pandas.core.strings.object_array
import time:    399285 |    2349187 |                                 pandas.core.arrays.numpy_
import time:    409008 |    4207946 |                               pandas.core.arrays.string_
import time:    351232 |     351232 |                                 pandas.tseries
import time:    722527 |    1073758 |                               pandas.tseries.frequencies
import time:    467669 |   17404184 |                             pandas.core.arrays.arrow.array
import time:    404581 |   18211146 |                           pandas.core.arrays.arrow
import time:    380366 |     380366 |                           pandas.core.arrays.boolean
import time:      5417 |       5417 |                               _csv
import time:      1882 |       7298 |                             csv
import time:    599788 |     599788 |                             pandas.core.accessor
import time:    406327 |     406327 |                             pandas.core.base
import time:    344383 |     344383 |                             pandas.io.formats
import time:    486237 |     486237 |                             pandas.io.formats.console
import time:    400290 |    2244320 |                           pandas.core.arrays.categorical
import time:    527007 |     527007 |                             pandas._libs.tslib
import time:    334045 |     334045 |                               pandas.core.array_algos.datetimelike_accumulations
import time:    448108 |     782152 |                             pandas.core.arrays.datetimelike
import time:    357034 |     357034 |                             pandas.core.arrays._ranges
import time:    353660 |     353660 |                             pandas.tseries.offsets
import time:    395569 |    2415421 |                           pandas.core.arrays.datetimes
import time:    353705 |     353705 |                             pandas.core.arrays.timedeltas
import time:    391635 |     745340 |                           pandas.core.arrays.interval
import time:    423169 |     423169 |                           pandas.core.arrays.period
import time:   1039188 |    1039188 |                                 pandas._libs.sparse
import time:    378661 |     378661 |                                 pandas.io.formats.printing
import time:    401514 |    1819362 |                               pandas.core.arrays.sparse.array
import time:    473209 |    2292571 |                             pandas.core.arrays.sparse.accessor
import time:    358849 |    2651419 |                           pandas.core.arrays.sparse
import time:    393656 |     393656 |                           pandas.core.arrays.string_arrow
import time:    385707 |   27850540 |                         pandas.core.arrays
import time:    343797 |     343797 |                         pandas.core.flags
import time:       248 |        248 |                                 backports_abc
import time:    572818 |     573065 |                               pandas._libs.internals
import time:    361218 |     361218 |                                 pandas.core._numba
import time:    351033 |     712250 |                               pandas.core._numba.executor
import time:    382606 |    1667920 |                             pandas.core.apply
import time:    360532 |     360532 |                                   pandas._libs.indexing
import time:    453475 |     453475 |                                     pandas.core.indexes
import time:       170 |        170 |                                         backports_abc
import time:    710381 |     710551 |                                       pandas._libs.index
import time:    544345 |     544345 |                                       pandas._libs.writers
import time:    806016 |     806016 |                                       pandas._libs.join
import time:    383893 |     383893 |                                       pandas.core.array_algos.putmask
import time:    424627 |     424627 |                                       pandas.core.indexes.frozen
import time:    786933 |     786933 |                                       pandas.core.strings.accessor
import time:    414324 |    4070686 |                                     pandas.core.indexes.base
import time:    358872 |     358872 |                                       pandas.core.indexes.extension
import time:    380276 |     739147 |                                     pandas.core.indexes.category
import time:    408933 |     408933 |                                         pandas.core.indexes.range
import time:    349428 |     349428 |                                           pandas.core.tools
import time:    346191 |     695618 |                                         pandas.core.tools.timedeltas
import time:    350397 |    1454947 |                                       pandas.core.indexes.datetimelike
import time:    355634 |     355634 |                                       pandas.core.tools.times
import time:    377382 |    2187962 |                                     pandas.core.indexes.datetimes
import time:    400063 |     400063 |                                       pandas.core.indexes.multi
